"Order"	"no. living"	"no NOW"
"1"	"Monotremata"	"5"	"0"
"2"	"Paucituberculata"	"7"	"17"
"3"	"Didelphimorphia"	"125"	"11"
"4"	"Microbiotheria"	"3"	"5"
"5"	"Notoryctemorphia"	"2"	"0"
"6"	"Dasyuromorphia"	"77"	"1"
"7"	"Peramelemorphia"	"22"	"4"
"8"	"Diprotodontia"	"149"	"11"
"9"	"Cingulata"	"21"	"40"
"10"	"Pilosa"	"16"	"30"
"11"	"Macroscelidea"	"20"	"7"
"12"	"Afrosoricida"	"55"	"6"
"13"	"Tubulidentata"	"1"	"10"
"14"	"Proboscidea"	"3"	"121"
"15"	"Hyracoidea"	"5"	"16"
"16"	"Sirenia"	"4"	"8"
"17"	"Dermoptera"	"2"	"0"
"18"	"Scandentia"	"23"	"2"
"19"	"Primates"	"511"	"133"
"20"	"Lagomorpha"	"108"	"134"
"21"	"Rodentia"	"2570"	"1426"
"22"	"Eulipotyphla"	"544"	"349"
"23"	"Chiroptera"	"1428"	"87"
"24"	"Pholidota"	"8"	"2"
"25"	"Carnivora"	"299"	"717"
"26"	"Perissodactyla"	"16"	"425"
"27"	"Artiodactyla"	"339"	"899"
"28"	"Sparassodonta"	"0"	"36"
"29"	"Notoungulata"	"0"	"36"
"30"	"Creodonta"	"0"	"28"
"31"	"Cetacea"	"0"	"10"
"32"	"Litopterna"	"0"	"23"
"33"	"Polydolopimorphia"	"0"	"2"
"34"	"incertae sedis"	"0"	"5"
"35"	"Leptictida"	"0"	"1"
"36"	"Ptolemaiida"	"0"	"1"
"37"	"Astrapotheria"	"0"	"5"
